'Table_Name', 'Checklist_ID', 'Optional'
'Table 2-1. General device 8/16 LP-LVDS physical layer general compliance list', 'Item 3', 'OPTIONAL'
'Table 2-1. General device 8/16 LP-LVDS physical layer general compliance list', 'Item 4', 'OPTIONAL'
'Table 2-1. General device 8/16 LP-LVDS physical layer general compliance list', 'Item 5', 'OPTIONAL'
'Table 2-1. General device 8/16 LP-LVDS physical layer general compliance list', 'Item 9', 'OPTIONAL'
'Table 2-1. General device 8/16 LP-LVDS physical layer general compliance list', 'Item 10', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 2', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 5', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 5A', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 5B', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 5C', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 7', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 7A', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 7B', 'OPTIONAL'
'Table 2-4. General device 8/16 LP-LVDS physical layer basic functionality list', 'Item 7C', 'OPTIONAL'
'Table 2-11. General device 8/16 LP-LVDS physical layer flow control list', 'Item 2', 'OPTIONAL'
'Table 2-11. General device 8/16 LP-LVDS physical layer flow control list', 'Item 2A', 'OPTIONAL'
'Table 2-11. General device 8/16 LP-LVDS physical layer flow control list', 'Item 2A1', 'OPTIONAL'
'Table 2-11. General device 8/16 LP-LVDS physical layer flow control list', 'Item 2B', 'OPTIONAL'
'Table 2-11. General device 8/16 LP-LVDS physical layer flow control list', 'Item 3', 'OPTIONAL'
'Table 2-12. General device 8/16 LP-LVDS physical layer recoverable errors list', 'Item 1C2', 'OPTIONAL'
'Table 2-12. General device 8/16 LP-LVDS physical layer recoverable errors list', 'Item 10', 'OPTIONAL'
'Table 2-13. General device 8/16 LP-LVDS physical layer non-recoverable errors list', 'Item 6', 'OPTIONAL'
'Table 3-1. General device 1x/4x LP-Serial physical layer general compliance list', 'Item 3', 'OPTIONAL'
'Table 3-1. General device 1x/4x LP-Serial physical layer general compliance list', 'Item 4', 'OPTIONAL'
'Table 3-1. General device 1x/4x LP-Serial physical layer general compliance list', 'Item 5', 'OPTIONAL'
'Table 3-1. General device 1x/4x LP-Serial physical layer general compliance list', 'Item 9', 'OPTIONAL'
'Table 3-1. General device 1x/4x LP-Serial physical layer general compliance list', 'Item 10', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 5', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 5A', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 5B', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 7', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 7A', 'OPTIONAL'
'Table 3-4. General device 1x/4x LP-Serial physical layer basic functionality list', 'Item 7B', 'OPTIONAL'
'Table 3-11. General device 1x/4x LP-Serial physical layer flow control list', 'Item 2', 'OPTIONAL'
'Table 3-11. General device 1x/4x LP-Serial physical layer flow control list', 'Item 2A', 'OPTIONAL'
'Table 3-11. General device 1x/4x LP-Serial physical layer flow control list', 'Item 2A1', 'OPTIONAL'
'Table 3-11. General device 1x/4x LP-Serial physical layer flow control list', 'Item 2B', 'OPTIONAL'
'Table 3-11. General device 1x/4x LP-Serial physical layer flow control list', 'Item 3', 'OPTIONAL'
'Table 3-12. General device 1x/4x LP-Serial physical layer recoverable errors list', 'Item 1C2', 'OPTIONAL'
'Table 3-12. General device 1x/4x LP-Serial physical layer recoverable errors list', 'Item 10', 'OPTIONAL'
'Table 3-13. General device 1x/4x LP-Serial physical layer non-recoverable errors list', 'Item 4', 'OPTIONAL'
'Table 4-2. General device common transport layer packet transmission list', 'Item 3', 'OPTIONAL'
'Table 5-10. Class 3 device logical layer target transaction support list', 'Item 4B', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-1. Atomic clear target transaction support list', 'Item 2C', 'OPTIONAL'
'Table 7-2. Atomic clear source transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-2. Atomic clear source transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-2. Atomic clear source transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-3. Atomic clear detectable errors list', 'Item 1', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-4. Atomic increment target transaction support list', 'Item 2C', 'OPTIONAL'
'Table 7-5. Atomic increment source transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-5. Atomic increment source transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-5. Atomic increment source transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-6. Atomic increment detectable errors list', 'Item 1', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-7. Atomic decrement target transaction support list', 'Item 2C', 'OPTIONAL'
'Table 7-8. Atomic decrement source transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-8. Atomic decrement source transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-8. Atomic decrement source transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-9. Atomic decrement detectable errors list', 'Item 1', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-10. Atomic test-and-swap target transaction support list', 'Item 2C', 'OPTIONAL'
'Table 7-11. Atomic test-and-swap source transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-11. Atomic test-and-swap source transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-11. Atomic test-and-swap source transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-11. Atomic test-and-swap source transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-11. Atomic test-and-swap source transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-12. Atomic test-and-swap detectable errors list', 'Item 1', 'OPTIONAL'
'Table 7-12. Atomic test-and-swap detectable errors list', 'Item 1A', 'OPTIONAL'
'Table 7-12. Atomic test-and-swap detectable errors list', 'Item 1B', 'OPTIONAL'
'Table 7-12. Atomic test-and-swap detectable errors list', 'Item 1C', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-13. Atomic swap target transaction support list', 'Item 2C', 'OPTIONAL'
'Table 7-14. Atomic swap source transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-14. Atomic swap source transaction support list', 'Item 1A', 'OPTIONAL'
'Table 7-14. Atomic swap source transaction support list', 'Item 2', 'OPTIONAL'
'Table 7-14. Atomic swap source transaction support list', 'Item 2A', 'OPTIONAL'
'Table 7-14. Atomic swap source transaction support list', 'Item 2B', 'OPTIONAL'
'Table 7-15. Atomic swap detectable errors list', 'Item 1', 'OPTIONAL'
'Table 7-15. Atomic swap detectable errors list', 'Item 1A', 'OPTIONAL'
'Table 7-15. Atomic swap detectable errors list', 'Item 1B', 'OPTIONAL'
'Table 7-15. Atomic swap detectable errors list', 'Item 1C', 'OPTIONAL'
'Table 7-16. Atomic compare-and-swap target transaction support list', 'Item 1', 'OPTIONAL'
'Table 7-16. Atomic compare-and-swap target transaction support list', 'Item 1A', 'OPTIONAL'
